No,Name,Pos,Status,Height,Inches,Random,Weight,Birthdate,Exp,College,Team
43,"Cliett, Reshard",OLB,ACT,"6'2""",74,0.802214737,225,4/29/1992,2,South Florida,MIN
6,"Testaverde, Vincent",QB,ACT,"6'1""",73,0.801621926,211,//,0,Albany,TB
21,"Hines, Nyheim",RB,ACT,"5'9""",69,0.800876892,196,11/12/1996,2,North Carolina State,IND
47,"Irving, Isaiah",LB,ACT,"6'3""",75,0.800818588,254,6/9/1994,3,San Jose State,CHI
10,"Beasley, Cole",WR,ACT,"5'8""",68,0.800397576,174,4/26/1989,8,Southern Methodist,BUF
33,"Shelley, Duke",CB,ACT,"5'9""",69,0.799161656,180,10/8/1996,0,Kansas State,CHI
63,"Linsley, Corey",C,ACT,"6'3""",75,0.798996898,301,7/27/1991,6,Ohio State,GB
83,"Ratliff-Williams, Anthony",WR,ACT,"5'11""",71,0.798873715,195,6/17/1997,0,North Carolina,TEN
42,"Gedeon, Ben",OLB,ACT,"6'2""",74,0.798692142,244,10/16/1994,3,Michigan,MIN
38,"Boyd, Kris",DB,ACT,"5'11""",71,0.798031343,200,9/12/1996,0,Texas,MIN
48,"Miles, Durrant",LB,ACT,"6'5""",77,0.797700178,261,11/20/1994,0,Boise State,ATL
8,"Robinson, Aldrick",WR,ACT,"5'10""",70,0.797534099,185,9/24/1988,7,Southern Methodist,CAR
42,"Laird, Patrick",RB,ACT,"6'0""",72,0.797332355,205,8/17/1995,0,California,MIA
93,"Heath, Joel",DE,ACT,"6'6""",78,0.797283211,302,6/18/1993,4,Michigan State,HOU
11,"Fitzgerald, Larry",WR,ACT,"6'3""",75,0.797105073,218,8/31/1983,16,Pittsburgh,ARI
69,"Dotson, Demar",OT,ACT,"6'9""",81,0.796892546,315,10/11/1985,11,Southern Mississippi,TB
73,"Allegretti, Nick",OG,ACT,"6'4""",76,0.796308093,320,4/21/1996,0,Illinois,KC
66,"Groy, Ryan",C,ACT,"6'5""",77,0.795918695,320,9/30/1990,6,Wisconsin,NO
54,"Kendricks, Eric",MLB,ACT,"6'0""",72,0.795771093,232,2/29/1992,5,UCLA,MIN
15,"Sheehy-Guiseppi, Damon",WR,ACT,"5'11""",71,0.795528276,181,2/15/1995,0,Phoenix Coll. AZ (J.C.),CLE
33,"Ladler, Kenny",DB,ACT,"6'0""",72,0.794839198,200,6/23/1992,2,Vanderbilt,NYG
50,"Reynolds, LaRoy",LB,ACT,"6'1""",73,0.794431324,228,11/3/1990,7,Virginia,SF
73,"St. Andrew, Micah",OG,ACT,"6'3""",75,0.794332177,348,1/10/1996,0,Fresno State,DET
53,"Dineen, Joe",LB,ACT,"6'2""",74,0.794331547,235,3/26/1996,0,Kansas,DEN
14,"McCloud, Ray-Ray",WR,ACT,"5'9""",69,0.793951089,190,10/15/1996,2,Clemson,BUF
64,"Incognito, Richie",C,ACT,"6'3""",75,0.793303429,325,7/5/1983,12,Nebraska,OAK
36,"Ishmael, Kemal",DB,ACT,"6'0""",72,0.792705148,206,5/6/1991,7,Central Florida,ATL
44,"Anthony, Stephone",LB,ACT,"6'3""",75,0.792424313,245,7/28/1992,5,Clemson,ATL
46,"Raymond, Dax",TE,ACT,"6'5""",77,0.792263792,255,11/30/1994,0,Utah State,CHI
78,"Ellis, Justin",DT,ACT,"6'2""",74,0.792221268,350,12/27/1990,6,Louisiana Tech,OAK
15,"Bellamy, Josh",WR,ACT,"6'0""",72,0.792021515,208,5/18/1989,5,Louisville,NYJ
22,"Logan, T.J.",RB,ACT,"5'11""",71,0.791706729,195,9/3/1994,3,North Carolina,ARI
4,"Rypien, Brett",QB,ACT,"6'2""",74,0.791042892,202,7/9/1996,0,Boise State,DEN
6,"Wishnowsky, Mitch",P,ACT,"6'2""",74,0.790801833,220,3/2/1992,0,Utah,SF
93,"Brown, Andrew",DT,ACT,"6'3""",75,0.790746331,290,12/30/1995,1,Virginia,CIN
35,"Ward, Charvarius",CB,ACT,"6'1""",73,0.789135728,198,5/16/1996,2,Middle Tennessee State,KC
,"Martin, Ronald",DB,ACT,"6'1""",73,0.788196364,220,2/26/1993,3,LSU,ATL
66,"Hopkins, Trey",C,ACT,"6'3""",75,0.787579756,316,7/6/1992,4,Texas,CIN
2,"Haack, Matt",P,ACT,"6'0""",72,0.787403277,205,7/25/1994,3,Arizona State,MIA
37,"Jackson, Josh",CB,ACT,"6'0""",72,0.787125619,196,4/3/1996,2,Iowa,GB
56,"Williams, Tim",LB,ACT,"6'3""",75,0.787070923,252,11/12/1993,3,Alabama,BAL
39,"Westry, Chris",CB,ACT,"6'4""",76,0.786989782,210,7/10/1997,0,Kentucky,DAL
27,"Hunt, Kareem",RB,ACT,"5'11""",71,0.786909424,216,8/6/1995,3,Toledo,CLE
66,"Meder, Jamie",DT,ACT,"6'2""",74,0.786735247,308,4/12/1991,4,Ashland,SEA
86,"Reed, Jordan",TE,ACT,"6'2""",74,0.785952236,242,7/3/1990,7,Florida,WAS
63,"Blackmar, Blake",OG,ACT,"6'5""",77,0.785570751,326,8/3/1995,0,Baylor,CHI
20,"Crowell, Isaiah",RB,RES,"5'11""",71,0.785389257,225,1/8/1993,6,Alabama State,OAK
77,"Lang, Cedrick",OT,ACT,"6'7""",79,0.784865727,300,5/12/1992,2,Texas-El Paso,NE
92,"Gardeck, Dennis",LB,ACT,"6'0""",72,0.783706556,232,8/9/1994,2,Sioux Falls,ARI
39,"Smith, Tremon",DB,ACT,"6'0""",72,0.783480366,190,7/20/1996,2,Central Arkansas,KC
74,"Christian, Geron",OT,ACT,"6'6""",78,0.783289275,315,9/10/1996,2,Louisville,WAS
95,"Carradine, Tank",DE,ACT,"6'4""",76,0.783139662,267,2/18/1990,6,Florida State,MIA
90,"Hageman, Ra'Shede",DT,ACT,"6'6""",78,0.783051933,318,8/8/1990,4,Minnesota,ATL
92,"Jones, Nazair",DT,ACT,"6'5""",77,0.782947822,292,12/13/1994,3,North Carolina,SEA
96,"Collins, Maliek",DT,ACT,"6'2""",74,0.782885078,310,4/8/1995,4,Nebraska,DAL
42,"Kennard, Devon",OLB,ACT,"6'4""",76,0.782358539,256,6/24/1991,6,USC,DET
97,"Ford, Poona",DT,ACT,"5'11""",71,0.782086035,310,11/19/1995,2,Texas,SEA
17,"Miller, Anthony",WR,ACT,"5'11""",71,0.78179969,190,10/9/1994,2,Memphis,CHI
56,"Moore, Damontre",DE,ACT,"6'4""",76,0.781540542,260,9/11/1992,5,Texas A&M,SF
45,"White, Devin",LB,ACT,"6'0""",72,0.781526765,237,2/17/1998,0,LSU,TB
55,"Elliss, Kaden",LB,ACT,"6'2""",74,0.781482021,238,7/10/1995,0,Idaho,NO
62,"Clark, Le'Raven",OT,ACT,"6'5""",77,0.78139557,311,4/22/1993,4,Texas Tech,IND
78,"Vakameilalo, Kalani",DT,ACT,"6'3""",75,0.781097727,322,4/30/1996,0,Oregon State,JAX
23,"Tankersley, Cordrea",CB,ACT,"6'1""",73,0.780883351,200,11/19/1993,3,Clemson,MIA
78,"Hamilton, Woodrow",DT,ACT,"6'3""",75,0.780863953,315,12/20/1992,2,Mississippi,CAR
13,"Washington, James",WR,ACT,"5'11""",71,0.780862903,213,4/2/1996,2,Oklahoma State,PIT
42,"Smith, Sutton",LB,ACT,"6'0""",72,0.780413422,233,3/22/1996,0,Northern Illinois,PIT
91,"Green, Gerri",DE,ACT,"6'4""",76,0.779549233,252,9/14/1995,0,Mississippi State,IND
90,"Winn, Billy",DT,RES,"6'4""",76,0.779518577,300,4/15/1989,6,Boise State,DEN
43,"Hill, Justice",RB,ACT,"5'10""",70,0.77942901,200,11/14/1997,0,Oklahoma State,BAL
58,"Fort, L.J.",LB,ACT,"6'0""",72,0.77890526,232,1/3/1990,5,Northern Iowa,PHI
40,"Davis, Jarrad",MLB,ACT,"6'1""",73,0.778841653,238,11/16/1994,3,Florida,DET
48,"Munson, Calvin",LB,ACT,"6'0""",72,0.778058554,243,12/27/1994,2,San Diego State,NE
55,"Simon, John",DE,ACT,"6'2""",74,0.778032874,260,10/14/1990,7,Ohio State,NE
15,"Lacy, Chris",WR,ACT,"6'3""",75,0.77739576,205,1/28/1996,1,Oklahoma State,DET
91,"Tupou, Josh",DT,ACT,"6'3""",75,0.777223989,345,5/2/1994,3,Colorado,CIN
89,"Nauta, Isaac",TE,ACT,"6'3""",75,0.777168088,244,5/21/1997,0,Georgia,DET
53,"Washington, Adolphus",DT,ACT,"6'4""",76,0.776776107,295,11/24/1992,4,Ohio State,MIA
77,"Dillard, Andre",OT,ACT,"6'5""",77,0.776774301,315,10/3/1995,0,Washington State,PHI
31,"Thomas, Michael",DB,ACT,"5'10""",70,0.77620447,195,3/17/1990,6,Stanford,NYG
25,"Davis, Mike",RB,ACT,"5'9""",69,0.774919863,217,2/19/1993,5,South Carolina,CHI
51,"DeOssie, Zak",LS,ACT,"6'4""",76,0.774542186,248,5/24/1984,13,Brown,NYG
36,"Swearinger, D.J.",FS,ACT,"5'10""",70,0.774439307,205,9/1/1991,7,South Carolina,ARI
40,"Armah, Alex",FB,ACT,"6'2""",74,0.774398616,255,5/17/1994,3,West Georgia,CAR
16,"Hollins, Mack",WR,ACT,"6'4""",76,0.77350614,221,9/16/1993,3,North Carolina,PHI
56,"Finch, Sharif",LB,ACT,"6'4""",76,0.773373633,250,10/1/1995,2,Temple,TEN
85,"Scarff, Charles",TE,ACT,"6'5""",77,0.772793893,249,5/3/1996,0,Delaware,BAL
97,"Williams, Nick",DT,ACT,"6'4""",76,0.772778967,310,2/21/1990,4,Samford,CHI
91,"Price, Brian",DT,ACT,"6'3""",75,0.772745769,322,6/24/1994,3,Texas-San Antonio,CLE
65,"Whitehair, Cody",C,ACT,"6'4""",76,0.772062592,310,7/11/1992,4,Kansas State,CHI
86,"Johnson, Justin",TE,ACT,"6'3""",75,0.771863371,235,11/8/1996,0,Mississippi State,SEA
10,"Austin, Tavon",WR,ACT,"5'8""",68,0.77176142,185,3/15/1990,7,West Virginia,DAL
22,"Gardner-Johnson, Chauncey",DB,ACT,"5'11""",71,0.771017788,210,12/20/1997,0,Florida,NO
79,"Hill, Trysten",DT,ACT,"6'3""",75,0.77057687,310,3/25/1998,0,Central Florida,DAL
53,"Pouncey, Maurkice",C,ACT,"6'4""",76,0.770418315,304,7/24/1989,10,Florida,PIT
36,"Crockett, Damarea",RB,ACT,"5'11""",71,0.77025546,225,12/22/1997,0,Missouri,HOU
74,"Humphries, D.J.",OT,ACT,"6'5""",77,0.770025965,307,12/28/1993,5,Florida,ARI
46,"Davison, Raymond",LB,ACT,"6'1""",73,0.769755377,230,3/25/1995,1,California,KC
73,"Seumalo, Isaac",OG,ACT,"6'4""",76,0.76957273,303,10/29/1993,4,Oregon State,PHI
71,"Hernandez, Will",OG,ACT,"6'3""",75,0.769453784,332,9/2/1995,2,Texas-El Paso,NYG
13,"Floyd, Michael",WR,ACT,"6'2""",74,0.768632953,220,11/27/1989,8,Notre Dame,BAL
39,"Agnew, Jamal",CB,ACT,"5'10""",70,0.767428315,190,4/3/1995,3,San Diego,DET
88,"Ridley, Riley",WR,ACT,"6'1""",73,0.766803537,199,7/21/1996,0,Georgia,CHI
78,"Edwards, Javier",NT,ACT,"6'3""",75,0.766698154,325,10/27/1996,0,Colorado,HOU
12,"Scott, Jaleel",WR,ACT,"6'5""",77,0.766244821,210,2/23/1995,2,New Mexico State,BAL
95,"Huguenin, Farrington",LB,ACT,"6'4""",76,0.765999725,268,5/8/1992,1,Kentucky,TB
44,"Gillaspia, Cullen",RB,ACT,"6'2""",74,0.765643771,235,5/12/1995,0,Texas A&M,HOU
3,"Barnard, Austin",P,ACT,"6'3""",75,0.765044018,207,6/22/1995,2,Samford,TEN
73,"Fulton, Zach",OG,ACT,"6'5""",77,0.764802074,321,9/23/1991,6,Tennessee,HOU
85,"Baugh, Marcus",TE,ACT,"6'4""",76,0.763186993,245,12/9/1994,1,Ohio State,CAR
14,"Lewis, Tommylee",WR,ACT,"5'7""",67,0.762855294,168,10/24/1992,4,Northern Illinois,DET
13,"Gallup, Michael",WR,ACT,"6'1""",73,0.762518418,205,3/4/1996,2,Colorado State,DAL
32,"Orr, Kareem",DB,ACT,"5'11""",71,0.762030552,195,1/2/1997,0,Tennessee-Chattanooga,TEN
15,"Winfree, Juwann",WR,ACT,"6'3""",75,0.761142863,215,9/4/1996,0,Colorado,DEN
83,"Mayle, Vince",TE,ACT,"6'2""",74,0.760716575,247,6/12/1991,3,Washington State,LAC
52,"Goode, Najee",LB,ACT,"6'0""",72,0.760715229,244,6/4/1989,8,West Virginia,JAX
27,"Baker, Deandre",CB,ACT,"5'11""",71,0.760211638,189,9/4/1997,0,Georgia,NYG
19,"Thielen, Adam",WR,ACT,"6'2""",74,0.760139777,200,8/22/1990,6,Minnesota State,MIN
35,"Wharton, Isaiah",DB,ACT,"6'1""",73,0.759394395,205,11/1/1995,0,Rutgers,MIN
34,"Poole, Brian",CB,ACT,"5'10""",70,0.759276751,213,10/20/1992,4,Florida,NYJ
91,"Cox, Fletcher",DT,ACT,"6'4""",76,0.759257839,310,12/13/1990,8,Mississippi State,PHI
86,"Weah, Jester",WR,ACT,"6'3""",75,0.759257599,209,2/7/1995,1,Pittsburgh,HOU
77,"O'Brien, Kitt",OG,ACT,"6'5""",77,0.759096888,325,4/29/1990,1,Ball State,CAR
85,"Smith, Lee",TE,ACT,"6'6""",78,0.75862734,265,11/21/1987,9,Marshall,BUF
57,"Pratt, Germaine",LB,ACT,"6'3""",75,0.757608322,245,5/21/1996,0,North Carolina State,CIN
25,"Barber, Peyton",RB,ACT,"5'11""",71,0.757555781,225,2/27/1994,4,Auburn,TB
25,"Smith, Ito",RB,ACT,"5'9""",69,0.756834514,195,9/11/1995,2,Southern Mississippi,ATL
79,"Garcia, Antonio",OT,ACT,"6'7""",79,0.756757555,302,12/10/1993,1,Troy,IND
68,"Norwell, Andrew",OG,ACT,"6'6""",78,0.756564626,325,10/25/1991,6,Ohio State,JAX
2,"Santoso, Ryan",P,ACT,"6'5""",77,0.756419718,258,8/26/1995,1,Minnesota,DET
30,"Dixon, Kenneth",RB,ACT,"5'10""",70,0.755945469,228,1/21/1994,4,Louisiana Tech,BAL
23,"Phillips, Darius",CB,ACT,"5'10""",70,0.755834873,190,6/26/1995,2,Western Michigan,CIN
71,"Barton, Jackson",OT,ACT,"6'7""",79,0.755569515,302,8/8/1995,0,Utah,IND
,"Ernsberger, Donnie",TE,ACT,"6'2""",74,0.755556254,237,10/13/1996,1,Western Michigan,JAX
7,"Sanders, Jason",K,ACT,"5'11""",71,0.755318237,186,11/16/1995,2,New Mexico,MIA
97,"Bosa, Nick",DE,ACT,"6'4""",76,0.755259118,266,10/23/1997,0,Ohio State,SF
86,"Schreck, Mason",TE,ACT,"6'5""",77,0.755102674,252,11/4/1993,3,Buffalo,CIN
30,"Apke, Troy",DB,ACT,"6'1""",73,0.754789625,205,4/11/1995,2,Penn State,WAS
95,"Jones, Chris",DE,ACT,"6'6""",78,0.754625809,310,7/3/1994,4,Mississippi State,KC
87,"Sprinkle, Jeremy",TE,ACT,"6'5""",77,0.754273318,255,8/10/1994,3,Arkansas,WAS
62,"Ducasse, Vladimir",OG,ACT,"6'5""",77,0.753676302,329,10/15/1987,10,Massachusetts,BUF
28,"Bethel, Justin",DB,ACT,"6'0""",72,0.753333592,200,6/17/1990,8,Presbyterian,BAL
87,"Orndoff, Scott",TE,ACT,"6'5""",77,0.753214127,256,12/16/1993,1,Pittsburgh,TB
69,"Bakhtiari, David",OT,ACT,"6'4""",76,0.752706777,310,9/30/1991,7,Colorado,GB
60,"O'Hagan, James",C,ACT,"6'2""",74,0.752284379,300,9/19/1996,0,Buffalo,NYG
52,"Mack, Khalil",OLB,ACT,"6'3""",75,0.751999635,252,2/22/1991,6,Buffalo,CHI
27,"Kirkpatrick, Dre",CB,ACT,"6'2""",74,0.751930766,190,10/26/1989,8,Alabama,CIN
46,"Phillips, Del'Shawn",LB,ACT,"6'2""",74,0.751835975,230,10/9/1996,0,Illinois,ATL
24,"Locke, P.J.",DB,ACT,"5'10""",70,0.750877511,202,2/12/1997,0,Texas,PIT
92,"Zimmer, Justin",DT,ACT,"6'3""",75,0.750591929,292,10/23/1992,2,Ferris State,ATL
56,"Nickerson, Hardy",MLB,ACT,"6'0""",72,0.750269062,235,1/5/1994,3,Illinois,CIN
97,"Jarrett, Grady",DT,ACT,"6'0""",72,0.750233955,305,4/28/1993,5,Clemson,ATL
85,"Brown, Noah",WR,ACT,"6'2""",74,0.750208683,222,1/6/1996,3,Ohio State,DAL
77,"Newhouse, Marshall",OG,ACT,"6'4""",76,0.748987001,330,9/29/1988,10,Texas Christian,NO
80,"Culkin, Sean",TE,ACT,"6'5""",77,0.748962282,255,6/11/1993,3,Missouri,LAC
27,"Watkins, Jaylen",DB,ACT,"5'11""",71,0.748559282,194,11/27/1991,5,Florida,LAC
10,"Richardson, Paul",WR,ACT,"6'0""",72,0.748464908,180,4/13/1992,6,Colorado,WAS
37,"Dangerfield, Jordan",DB,ACT,"5'11""",71,0.747821823,199,12/25/1990,3,Towson,PIT
4,"Koch, Sam",P,ACT,"6'1""",73,0.747817585,222,8/13/1982,14,Nebraska,BAL
30,"Ford, Rudy",DB,ACT,"6'0""",72,0.747388041,204,11/1/1994,3,Auburn,ARI
60,"Anderson, Ryan",C,ACT,"6'6""",78,0.747098052,305,12/30/1994,0,Wake Forest,NYJ
35,"Edwards, Gus",RB,ACT,"6'1""",73,0.746602234,238,4/13/1995,2,Rutgers,BAL
97,"Shepherd, Nathan",DE,ACT,"6'4""",76,0.7464714,315,10/9/1993,2,Fort Hays State,NYJ
99,"Saunders, Khalen",DT,ACT,"6'0""",72,0.746401255,324,8/9/1996,0,Western Illinois,KC
13,"White, Reggie Jr.",WR,ACT,"6'2""",74,0.746275394,212,3/10/1996,0,Monmouth (N.J.),NYG
95,"Okwara, Romeo",DE,ACT,"6'4""",76,0.746188239,274,6/17/1995,4,Notre Dame,DET
8,"McManus, Brandon",K,ACT,"6'3""",75,0.746070223,201,7/25/1991,6,Temple,DEN
48,"Johnson, Dontae",DB,ACT,"6'2""",74,0.746050634,200,12/1/1991,6,North Carolina State,SF
91,"Oliver, Ed",DT,ACT,"6'1""",73,0.74602771,287,12/12/1997,0,Houston,BUF
54,"Yarbrough, Eddie",DE,ACT,"6'3""",75,0.745981145,259,4/24/1993,3,Wyoming,BUF
11,"Smith, Alex",QB,ACT,"6'4""",76,0.745898292,213,5/7/1984,15,Utah,WAS
82,"Simonson, Scott",TE,ACT,"6'5""",77,0.74576376,261,4/13/1992,5,Assumption,NYG
50,"Luvu, Frankie",LB,ACT,"6'3""",75,0.745448295,236,9/19/1996,2,Washington State,NYJ
20,"Jones, Reshad",FS,ACT,"6'1""",73,0.745400163,215,2/25/1988,10,Georgia,MIA
85,"Sowell, Bradley",TE,ACT,"6'7""",79,0.745108325,312,6/6/1989,8,Mississippi,CHI
26,"Shead, DeShawn",DB,ACT,"6'2""",74,0.745046058,216,6/28/1989,8,Portland State,SEA
43,"Travis, Ross",TE,ACT,"6'6""",78,0.744742468,248,1/9/1993,4,Penn State,IND
48,"Jacobs, Leon",OLB,ACT,"6'2""",74,0.744637252,246,10/3/1995,2,Wisconsin,JAX
97,"Wilkins, Christian",DT,ACT,"6'4""",76,0.74408667,315,12/20/1995,0,Clemson,MIA
73,"Greenidge, Ethan",OT,ACT,"6'4""",76,0.743114266,335,9/10/1997,0,Villanova,NO
21,"Jamerson, Natrell",DB,ACT,"5'11""",71,0.742954906,201,12/15/1995,2,Wisconsin,GB
55,"Smith, Za'Darius",OLB,ACT,"6'4""",76,0.742949229,272,9/8/1992,5,Kentucky,GB
33,"Murphy, Byron",CB,ACT,"5'11""",71,0.742113669,190,1/18/1998,0,Washington,ARI
8,"Jones, Daniel",QB,ACT,"6'5""",77,0.7417043,221,5/27/1997,0,Duke,NYG
71,"Feiler, Matt",OT,ACT,"6'6""",78,0.74166791,330,7/7/1992,3,Bloomsburg,PIT
32,"Reed, D.J.",FS,ACT,"5'9""",69,0.741530563,193,11/11/1996,2,Kansas State,SF
59,"Covington, Chris",LB,ACT,"6'2""",74,0.741083711,245,1/3/1996,2,Indiana,DAL
57,"Turay, Kemoko",DE,ACT,"6'5""",77,0.740927688,248,7/11/1995,2,Rutgers,IND
84,"McKever, Pharoah",TE,ACT,"6'6""",78,0.740849594,259,2/4/1994,1,Florida International,GB
7,"Haskins, Dwayne",QB,ACT,"6'4""",76,0.740311621,231,5/3/1997,0,Ohio State,WAS
7,"Henry, Malik",WR,ACT,"6'0""",72,0.740258422,190,4/16/1997,0,West Georgia,SF
85,"Tye, Will",TE,ACT,"6'2""",74,0.739978382,260,11/4/1991,3,Stony Brook,PHI
17,"Lauletta, Kyle",QB,ACT,"6'2""",74,0.739568953,219,3/17/1995,2,Richmond,NYG
47,"Ryan, Jake",LB,ACT,"6'2""",74,0.739464927,240,2/27/1992,5,Michigan,JAX
45,"Mazza, Cole",LS,ACT,"6'2""",74,0.739202352,225,2/14/1995,1,Alabama,LAC
32,"Carson, Chris",RB,ACT,"5'11""",71,0.739159984,222,9/16/1994,3,Oklahoma State,SEA
60,"Eldrenkamp, Jake",OG,ACT,"6'5""",77,0.738552965,300,3/4/1994,1,Washington,IND
8,"Fales, David",QB,ACT,"6'2""",74,0.738324562,213,10/4/1990,5,San Jose State,DET
14,"Dural, Travin",WR,ACT,"6'2""",74,0.738180226,207,11/19/1993,2,LSU,NO
78,"Wichmann, Cody",OG,ACT,"6'5""",77,0.737367874,320,3/2/1992,3,Fresno State,DAL
95,"Jones, Abry",DT,ACT,"6'4""",76,0.737361524,318,9/8/1991,7,Georgia,JAX
38,"Barner, Kenjon",RB,ACT,"5'9""",69,0.736500984,195,4/28/1989,6,Oregon,ATL
81,"Smith, Jonnu",TE,ACT,"6'3""",75,0.736360272,248,8/22/1995,3,Florida International,TEN
22,"Prosise, C.J.",RB,ACT,"6'1""",73,0.736088364,225,5/20/1994,4,Notre Dame,SEA
9,"Bray, Tyler",QB,ACT,"6'6""",78,0.735284334,215,12/27/1991,6,Tennessee,CHI
23,"Beal, Sam",DB,ACT,"6'1""",73,0.735249,192,8/30/1996,2,Western Michigan,NYG
61,"Ray, Wyatt",DE,ACT,"6'3""",75,0.734821715,257,10/24/1996,0,Boston College,CLE
26,"Williams, P.J.",CB,ACT,"6'0""",72,0.734333256,196,6/1/1993,5,Florida State,NO
64,"Reed, Chris",OG,ACT,"6'4""",76,0.734071337,320,7/22/1992,4,Minnesota State,MIA
,"Siragusa, Nico",OG,ACT,"6'4""",76,0.733393892,330,5/10/1994,2,San Diego State,BUF
11,"Davis, Geremy",WR,ACT,"6'3""",75,0.733384063,211,1/10/1992,5,Connecticut,LAC
28,"Facyson, Brandon",DB,ACT,"6'2""",74,0.73338065,197,9/8/1994,2,Virginia Tech,LAC
64,"Prince, Damian",OT,ACT,"6'3""",75,0.733273644,320,4/16/1996,0,Maryland,PIT
29,"Smith, Ryan",CB,ACT,"5'11""",71,0.732557871,189,9/7/1993,4,North Carolina Central,TB
73,"Hurst, Maurice",DT,ACT,"6'1""",73,0.732392364,291,5/9/1995,2,Michigan,OAK
40,"Webb, Ralph",RB,ACT,"5'10""",70,0.731257694,200,11/21/1994,1,Vanderbilt,PIT
53,"Thurman, Jameer",LB,ACT,"6'0""",72,0.7306307,230,1/20/1995,1,Indiana State,CHI
19,"Brady, Tyre",WR,ACT,"6'3""",75,0.730295743,211,4/19/1995,0,Marshall,JAX
30,"Virgin, Dee",DB,ACT,"5'9""",69,0.730198873,205,10/29/1993,2,West Alabama,DET
44,"Matakevich, Tyler",ILB,ACT,"6'1""",73,0.730031467,235,12/22/1992,4,Temple,PIT
84,"Doyle, Jack",TE,ACT,"6'6""",78,0.729139941,262,5/5/1990,7,Western Kentucky,IND
79,"Mone, Bryan",NT,ACT,"6'3""",75,0.728997609,345,10/20/1995,0,Michigan,SEA
48,"Ento, Kabion",CB,ACT,"6'1""",73,0.727878434,187,1/3/1996,0,Colorado,GB
18,"Lodge, DaMarkus",WR,ACT,"6'2""",74,0.72730114,202,5/12/1997,0,Mississippi,TB
34,"Strickland, Dontae",RB,ACT,"5'11""",71,0.726845097,201,3/22/1997,0,Syracuse,ARI
48,"Celestin, Jonathan",LB,ACT,"6'1""",73,0.726786852,230,11/21/1995,1,Minnesota,CAR
36,"Houston-Carson, DeAndre",DB,ACT,"6'1""",73,0.726511887,205,4/13/1993,4,William & Mary,CHI
25,"Hayden, D.J.",DB,ACT,"5'11""",71,0.726165828,190,6/27/1990,7,Houston,JAX
60,"Jordan, Mike",OG,ACT,"6'6""",78,0.725577405,315,1/25/1998,0,Ohio State,CIN
14,"Simpson, Cortrelle",WR,ACT,"5'11""",71,0.725377089,193,8/30/1996,0,Richmond,TB
62,"Redmond, Alex",OG,ACT,"6'5""",77,0.724527719,320,1/18/1995,3,UCLA,CIN
33,"Williams, Jonathan",RB,ACT,"6'0""",72,0.724375278,217,2/2/1994,4,Arkansas,IND
35,"Crossen, Keion",DB,ACT,"5'10""",70,0.723692228,185,4/17/1996,2,Western Carolina,NE
87,"Horn, Joe",WR,ACT,"5'10""",70,0.723601238,174,9/16/1994,0,Missouri Western State,BAL
14,"Agudosi, Carlton",WR,ACT,"6'6""",78,0.723449414,220,2/1/1994,1,Rutgers,PHI
51,"Tavai, Jahlani",LB,ACT,"6'2""",74,0.723120791,250,9/28/1996,0,Hawaii,DET
55,"Mosley, Jamey",LB,ACT,"6'5""",77,0.722905071,248,3/28/1996,0,Alabama,NYJ
57,"Sundberg, Nick",LS,ACT,"6'1""",73,0.722761274,245,7/29/1987,10,California,WAS
74,"Falah, Nico",C,RES,"6'4""",76,0.722679778,301,1/6/1995,2,USC,DEN
84,"Johnson, Charles D.",WR,ACT,"6'2""",74,0.722502309,215,2/27/1989,5,Grand Valley State,PHI
18,"Cobb, Randall",WR,ACT,"5'10""",70,0.722037712,195,8/22/1990,9,Kentucky,DAL
40,"Butler, James",RB,ACT,"5'9""",69,0.721698817,210,2/19/1995,1,Iowa,OAK
94,"Gregory, Randy",DE,SUS,"6'5""",77,0.721501273,242,11/23/1992,3,Nebraska,DAL
95,"Stallworth, Taylor",DT,ACT,"6'2""",74,0.721485421,305,8/18/1995,2,South Carolina,NO
71,"Beavers, Willie",OG,ACT,"6'5""",77,0.721419284,324,10/2/1993,2,Western Michigan,SF
38,"Toliver, Henre'",DB,ACT,"6'0""",72,0.721246382,190,10/21/1996,1,Arkansas,NYG
98,"Harrison, Damon",DT,ACT,"6'3""",75,0.720871316,353,11/29/1988,8,William Penn,DET
36,"Greene, Raven",DB,ACT,"5'11""",71,0.720501757,197,2/2/1995,2,James Madison,GB
80,"Butt, Jake",TE,ACT,"6'6""",78,0.720416637,250,7/11/1995,2,Michigan,DEN
36,"Kindred, Derrick",CB,ACT,"5'10""",70,0.720322019,208,12/15/1993,4,Texas Christian,IND
1,"Fortson, Jody",TE,ACT,"6'6""",78,0.719952355,230,12/7/1995,0,Valdosta State,KC
53,"Van Noy, Kyle",MLB,ACT,"6'3""",75,0.719836762,250,3/26/1991,6,Brigham Young,NE
81,"Smythe, Durham",TE,ACT,"6'6""",78,0.719716805,260,8/9/1995,2,Notre Dame,MIA
74,"Hall, Daeshon",DE,ACT,"6'5""",77,0.71948493,265,6/14/1995,3,Texas A&M,PHI
52,"Wint, Anthony",LB,ACT,"6'0""",72,0.719248394,224,9/14/1995,1,Florida International,NYJ
56,"Davis, Demario",OLB,ACT,"6'2""",74,0.718871015,248,1/11/1989,8,Arkansas State,NO
85,"Arnold, Dan",TE,ACT,"6'6""",78,0.718668485,220,3/15/1995,3,Wis.-Platteville,NO
